"","Peliculas","Votos"
"148","El inquebrantable: Camino hacia la redención 2018  ",5.6
"149","Los siete pecados capitales: Prisioneros del cielo 2018  ",6.9
"150","No dormirás 2018  ",5.2
"151","Buscando… 2018  ",7.7
"152","Plan V 2018  ",4.2
"153","El legado 2018  ",5.7
"154","Guerreros del futuro 2018  ",3.1
"155","A-X-L 2018  ",5.1
"156","Ya veremos 2018  ",5.4
"157","Matar o morir 2018  ",6.5
"158","Escuela nocturna 2018  ",5.6
"159","Malos momentos en el Hotel Royale 2018  ",7.3
"160","Pokémon la película: El poder de todos 2018  ",6.5
"161","Bird Box: A ciegas 2018  ",6.4
"162","La tierra de hábitos constantes 2018  ",6.2
"163","La Casa del Reloj en la Pared 2018  ",6.1
"164","Roma 2018  ",8.2
"165","Along with the Gods: los últimos 49 días 2018  ",7
"166","Sonidos del corazón 2018  ",6.9
"167","Un pequeño favor 2018  ",6.9
"168","Mowgli: Relatos del libro de la selva 2018  ",6.6
"169","Predator 2018  ",5.5
"170","Venom 2018  ",6.8
"171","Battle 2018  ",6
"172","The Domestics 2018  ",5.7
"173","Un príncipe de Navidad: La boda real 2018  ",5.1
"174","Pie Pequeño 2018  ",6.7
"175","¿Quien mató a los Puppets? 2018  ",5.3
"176","La mujer más asesinada del mundo 2018  ",5.3
"177","Calibre 2018  ",6.7
"178","La monja 2018  ",5.5
"179","El supremo 2018  ",5.1
"180","Alfa 2018  ",6.7
"181","Las crónicas de Navidad 2018  ",7.2
"182","Milla 22: El escape 2018  ",6.1
"183","Intercambio de princesas 2018  ",6
"184","Amor de vinilo 2018  ",6.6
"185","La balada de Buster Scruggs 2018  ",7.4
"186","Misión: Imposible – Repercusión 2018  ",7.9
"187","El justiciero 2 2018  ",6.8
"188","Locamente millonarios 2018  ",7.1
"189","Punto ciego 2018  ",7.4
"190","Nostalgia 2018  ",5.4
"191","Legítimo rey 2018  ",7
"192","Infiltrado del KKKlan 2018  ",7.6
"193","Sin rastro 2018  ",7.2
"194","Megalodón 2018  ",5.7
"195","Forever My Girl 2018  ",6.7
"196","Los increíbles 2 2018  ",7.8
"197","Down a Dark Hall 2018  ",5.2
"198","Incoming 2018  ",3.3
"199","¡Jóvenes Titanes en acción!: La película 2018  ",6.8
"200","Illand: La brigada del lobo 2018  ",6
